service_name,category,rag_explanation,alternatives,cancel_path,cautions
넷플릭스,OTT,"넷플릭스는 OTT 카테고리의 대표적인 스트리밍 서비스입니다. 다양한 오리지널 콘텐츠와 영화·드라마를 제공합니다. 다른 OTT 서비스와 함께 이용 중이라면 콘텐츠 중복 여부를 점검해볼 수 있습니다. 유지 여부는 자신의 시청 패턴과 선호 콘텐츠를 기준으로 직접 결정하는 것이 좋습니다. 변경 전에는 요금제·공유 계정·할인 혜택 종료 여부를 확인하세요.",티빙|웨이브|디즈니플러스|왓챠,넷플릭스 홈페이지 로그인 → 계정 → 멤버십 해지,공유 계정 여부 확인|연간 결제 여부 확인|남은 이용 기간 확인|할인 쿠폰 사용 여부 확인
티빙,OTT,"티빙은 OTT 카테고리의 국내 스트리밍 서비스입니다. 현재 다른 OTT 서비스와 함께 이용 중이고 사용 빈도가 낮다면 유지 여부를 점검해볼 수 있습니다. 해지 전에는 남은 이용 기간·할인 적용 여부·연간 결제 여부를 확인하는 것이 좋습니다. 최종 결정은 본인의 시청 패턴을 기반으로 내려주세요.",넷플릭스|웨이브|디즈니플러스,티빙 앱 또는 홈페이지 → 마이페이지 → 이용권/결제관리 → 해지,남은 이용 기간 확인|할인 혜택 종료 여부 확인|통신사 제휴 혜택 확인|연간 이용권 여부 확인
웨이브,OTT,"웨이브는 OTT 카테고리의 국내 스트리밍 서비스로 지상파 방송 콘텐츠를 강점으로 합니다. 다른 OTT 서비스와 이용 중이라면 콘텐츠 중복 여부를 비교해보세요. 유지 여부는 시청하는 콘텐츠 종류와 빈도를 기준으로 판단하면 도움이 됩니다.",넷플릭스|티빙|디즈니플러스,웨이브 앱 → 마이페이지 → 구독관리 → 구독 해지,KT·LGU+ 통신사 제휴 여부 확인|남은 이용 기간 확인|무료 체험 기간 여부 확인
디즈니플러스,OTT,"디즈니플러스는 OTT 카테고리로 디즈니·마블·스타워즈·픽사 등의 콘텐츠를 제공합니다. 해당 프랜차이즈 콘텐츠를 즐기지 않는다면 이용 패턴을 점검해볼 수 있습니다. 여러 OTT를 구독 중이라면 실제 시청 빈도를 비교해 우선순위를 정해보는 것도 좋습니다.",넷플릭스|티빙|웨이브,디즈니플러스 홈페이지 → 계정 → 구독 취소,통신사 번들 상품 여부 확인|마블·스타워즈 신작 일정 확인|연간 구독 여부 확인
유튜브 프리미엄,음악,"유튜브 프리미엄은 광고 없는 유튜브 시청과 유튜브 뮤직 스트리밍을 제공하는 서비스입니다. 유튜브를 자주 사용하지 않거나 다른 음악 스트리밍 서비스를 별도로 이용 중이라면 중복 여부를 점검해볼 수 있습니다. 가족 요금제나 학생 할인 여부도 확인해보세요.",멜론|스포티파이|애플뮤직,구글 계정 → 구독 → 유튜브 프리미엄 취소,가족 요금제 이용 중인지 확인|학생 할인 적용 여부 확인|유튜브 뮤직 이용 여부 함께 고려
멜론,음악,"멜론은 국내 대표 음악 스트리밍 서비스입니다. 다른 음악 서비스와 함께 이용 중이라면 사용 빈도를 비교해보는 것이 좋습니다. 통신사 제휴 할인을 받고 있다면 해지 전에 반드시 확인하세요. 사용 패턴에 따라 무제한 스트리밍 요금제 이하로 변경하는 것도 고려해볼 수 있습니다.",스포티파이|유튜브 프리미엄|애플뮤직,멜론 앱 → 마이페이지 → 이용권 관리 → 해지,통신사 제휴 할인 여부 확인|남은 이용 기간 확인|가족 플랜 이용 중인지 확인
스포티파이,음악,"스포티파이는 글로벌 음악 스트리밍 서비스로 맞춤 추천 플레이리스트를 강점으로 합니다. 다른 음악 서비스와 중복 이용 중이라면 각 서비스의 음악 보유량과 추천 품질을 비교해볼 수 있습니다. 듀오·패밀리 요금제를 통한 비용 절감도 고려해보세요.",멜론|유튜브 프리미엄|애플뮤직,스포티파이 홈페이지 → 계정 → 구독 취소,무료 티어로 전환 가능 여부 확인|듀오·패밀리 플랜 이용 여부 확인|학생 요금제 적용 가능 여부 확인
쿠팡와우,쇼핑,"쿠팡와우는 쇼핑 카테고리의 구독 서비스로 무료 배송·쿠팡플레이·로켓직구 혜택을 제공합니다. 쿠팡을 통한 쇼핑 빈도가 낮다면 혜택 대비 비용을 점검해볼 수 있습니다. 사용 빈도에 따라 유지 여부를 판단하는 것이 좋으며, 월정액 대비 배송비 절감 효과를 직접 계산해보세요.",네이버플러스 멤버십|11번가|G마켓,쿠팡 앱 → 마이쿠팡 → 와우멤버십 → 멤버십 해지,해지 후 남은 혜택 기간 확인|쿠팡플레이 이용 여부 고려|남은 이용 기간 중 활용 가능한 혜택 확인
네이버플러스 멤버십,쇼핑,"네이버플러스 멤버십은 네이버 쇼핑 포인트 적립·콘텐츠 이용·클라우드 혜택을 묶은 서비스입니다. 네이버 쇼핑 사용 빈도가 낮거나 포인트 적립 혜택을 충분히 활용하지 않는다면 점검해볼 수 있습니다. 현재 사용 중인 혜택 항목을 목록화하면 유지 여부 판단에 도움이 됩니다.",쿠팡와우|11번가,네이버 계정 → 구독·정기결제 → 멤버십 관리 → 해지,포인트 잔액 사용 여부 확인|네이버페이 자동결제 여부 확인|연간 이용권 여부 확인
iCloud,클라우드,"iCloud는 애플 기기 사용자를 위한 클라우드 스토리지 서비스입니다. 저장 용량이 실제로 필요하지 않다면 무료 플랜(5GB)으로 다운그레이드를 고려해볼 수 있습니다. 사진·백업 데이터를 다른 클라우드로 이전할 수 있는지 먼저 확인하고 결정하세요.",구글 원|원드라이브|드롭박스,아이폰 설정 → Apple ID → iCloud → iCloud+ 구독 취소,데이터 백업 여부 확인|다른 기기 동기화 여부 확인|무료 플랜(5GB)으로 다운그레이드 가능 여부 확인
